id,flags,expiration,cas,value,rev,vbid,dtype
573245817156333568,33554432,0,1229813128927,"{""id"":""573245817156333568"",""text"":""In search of a date for a wedding next Friday. Requirements: be able to dress nice and dance good"",""name"":""S Reeder"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507427000,""mentions"":[],""user"":""SarahhReederr""}",4,716,1
573245884655276033,33554432,0,1199799994417,"{""id"":""573245884655276033"",""text"":""The internet of things and big data: Unlocking the power - http://t.co/yZDNYvUAkz #IoT #BigData"",""name"":""Anna Cecilia Vitelli"",""longitude"":null,""hashtags"":[""IoT"",""BigData""],""latitude"":null,""datetime"":1425507443000,""mentions"":[],""user"":""annacecilia90""}",3,595,1
573246130626170880,33554432,0,1203315512621,"{""id"":""573246130626170880"",""text"":""RT @BleacherReport: VIDEO: Serge Ibaka interrupts Kevin Durant's media session in search of his missing water http://t.co/Y4QiX5EBEZ http:/…"",""name"":""⠀"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507502000,""mentions"":[""BleacherReport""],""user"":""ChazFerence""}",2,198,1
573245991198932992,33554432,0,1231808203847,"{""id"":""573245991198932992"",""text"":""تحميل لعبة رائعة GTA: Chinatown Wars v1.01 +DATA Android: *GTA: Chinatown Wars v1.01صورة: http://t.co/cdEIhOvMiB... http://t.co/XE9oQ5hmZ0"",""name"":""منتديات بوابة الشمال"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507469000,""mentions"":[],""user"":""belshmal""}",3,596,1
573246164759420928,33554432,0,1204035257996,"{""id"":""573246164759420928"",""text"":""@EileenWardBirch whats he fancy eileen ? i just typed trains and railways in our search box and quite a few popped up"",""name"":""scott southey"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507510000,""mentions"":[""EileenWardBirch""],""user"":""southcartbooks""}",2,599,1
573245818276339713,33554432,0,1229863846761,"{""id"":""573245818276339713"",""text"":""RT @Ralfharderxxx: NEW: The Deep Search for CITYBOY Cock @eurocreme @DrewKingstonXXX @THEO_FORD_XXX http://t.co/m2czgUCZUn http://t.co/4FBS…"",""name"":""AR"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507428000,""mentions"":[""Ralfharderxxx"",""eurocreme"",""DrewKingstonXXX"",""THEO_FORD_XXX""],""user"":""alexisr04210523""}",4,197,1
573245880226217984,33554432,0,1199493958681,"{""id"":""573245880226217984"",""text"":""#Wales £2,000 reward in 'Holy Grail' search http://t.co/4n2vmR2kUX"",""name"":""...david jones  "",""longitude"":null,""hashtags"":[""Wales""],""latitude"":null,""datetime"":1425507442000,""mentions"":[],""user"":""_dpaj""}",3,196,1
573246364269715456,33554432,0,1209270645011,"{""id"":""573246364269715456"",""text"":""LMAO!  spaceship crash on lawn halloween decoration - Google Search http://t.co/zWFETjXRXO"",""name"":""Declan August"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507558000,""mentions"":[],""user"":""declaugushappy""}",1,191,1
573246372620582912,33554432,0,1209634661066,"{""id"":""573246372620582912"",""text"":""#FelizCumpleBurrito now trending in BuenosAires http://t.co/DsFcATQQvM"",""name"":""Tworldy"",""longitude"":null,""hashtags"":[""FelizCumpleBurrito""],""latitude"":null,""datetime"":1425507560000,""mentions"":[],""user"":""tworldy""}",1,711,1
573245904137805824,33554432,0,1200738946963,"{""id"":""573245904137805824"",""text"":""Disciplined DRS: http://t.co/mYSMxFrdfG Watch This (Dr Tent/Autoimmune conditions caused by 'vaccines'): https://t.co/8DiBmQZVjy"",""name"":""Karen Savage"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507448000,""mentions"":[],""user"":""ksavagetexas""}",3,710,1
